Base Decision Tree Model

9531, pred: pos, actual: neg BAD
9777, pred: pos, actual: neg BAD
9778, pred: pos, actual: pos GOOD
9779, pred: pos, actual: pos GOOD
9780, pred: pos, actual: neg BAD
9781, pred: pos, actual: pos GOOD
9782, pred: neg, actual: neg GOOD
9783, pred: neg, actual: neg GOOD
9784, pred: neg, actual: neg GOOD
9785, pred: neg, actual: pos BAD
9786, pred: neg, actual: pos BAD
9787, pred: pos, actual: neg BAD
9788, pred: neg, actual: pos BAD
9789, pred: neg, actual: neg GOOD
9790, pred: neg, actual: neg GOOD
9791, pred: neg, actual: neg GOOD
9792, pred: neg, actual: neg GOOD
9793, pred: pos, actual: pos GOOD
9794, pred: neg, actual: pos BAD
9795, pred: neg, actual: pos BAD
9796, pred: pos, actual: neg BAD
9797, pred: neg, actual: neg GOOD
9798, pred: pos, actual: neg BAD
9799, pred: pos, actual: neg BAD
9800, pred: neg, actual: neg GOOD
9801, pred: pos, actual: pos GOOD
9802, pred: neg, actual: pos BAD
9803, pred: pos, actual: pos GOOD
9804, pred: pos, actual: neg BAD
9805, pred: pos, actual: neg BAD
9806, pred: pos, actual: neg BAD
9807, pred: neg, actual: neg GOOD
9808, pred: pos, actual: neg BAD
9809, pred: neg, actual: neg GOOD
9810, pred: pos, actual: pos GOOD
9811, pred: pos, actual: pos GOOD
9812, pred: neg, actual: neg GOOD
9813, pred: neg, actual: neg GOOD
9814, pred: neg, actual: neg GOOD
9815, pred: neg, actual: neg GOOD
9816, pred: neg, actual: neg GOOD
9817, pred: pos, actual: neg BAD
9818, pred: pos, actual: neg BAD
9819, pred: neg, actual: neg GOOD
9820, pred: neg, actual: neg GOOD
9821, pred: neg, actual: neg GOOD
9822, pred: neg, actual: pos BAD
9823, pred: pos, actual: pos GOOD
9824, pred: pos, actual: pos GOOD
9825, pred: neg, actual: neg GOOD
9826, pred: pos, actual: pos GOOD
9827, pred: pos, actual: neg BAD
9828, pred: neg, actual: neg GOOD
9829, pred: pos, actual: pos GOOD
9830, pred: neg, actual: pos BAD
9831, pred: pos, actual: neg BAD
9832, pred: pos, actual: pos GOOD
9833, pred: pos, actual: pos GOOD
9834, pred: pos, actual: neg BAD
9835, pred: pos, actual: pos GOOD
9836, pred: pos, actual: pos GOOD
9837, pred: pos, actual: neg BAD
9838, pred: neg, actual: pos BAD
9839, pred: pos, actual: pos GOOD
9840, pred: pos, actual: pos GOOD
9841, pred: neg, actual: neg GOOD
9842, pred: pos, actual: pos GOOD
9843, pred: neg, actual: pos BAD
9844, pred: neg, actual: pos BAD
9845, pred: pos, actual: pos GOOD
9846, pred: neg, actual: pos BAD
9847, pred: pos, actual: pos GOOD
9848, pred: pos, actual: pos GOOD
9849, pred: pos, actual: neg BAD
9850, pred: pos, actual: pos GOOD
9851, pred: pos, actual: pos GOOD
9852, pred: neg, actual: neg GOOD
9853, pred: neg, actual: pos BAD
9854, pred: neg, actual: neg GOOD
9855, pred: pos, actual: neg BAD
9856, pred: pos, actual: neg BAD
9857, pred: neg, actual: neg GOOD
9858, pred: neg, actual: pos BAD
9859, pred: neg, actual: neg GOOD
9860, pred: pos, actual: pos GOOD
9861, pred: pos, actual: pos GOOD
9862, pred: pos, actual: pos GOOD
9863, pred: neg, actual: neg GOOD
9864, pred: neg, actual: neg GOOD
9865, pred: neg, actual: neg GOOD
9866, pred: pos, actual: neg BAD
9867, pred: neg, actual: neg GOOD
9868, pred: pos, actual: pos GOOD
9869, pred: neg, actual: neg GOOD
9870, pred: pos, actual: pos GOOD
9871, pred: pos, actual: pos GOOD
9872, pred: neg, actual: neg GOOD
9873, pred: pos, actual: pos GOOD
9874, pred: pos, actual: neg BAD
9875, pred: pos, actual: pos GOOD
9876, pred: pos, actual: neg BAD
9877, pred: neg, actual: neg GOOD
9878, pred: neg, actual: neg GOOD
9879, pred: neg, actual: pos BAD
9880, pred: neg, actual: neg GOOD
9881, pred: pos, actual: neg BAD
9882, pred: neg, actual: pos BAD
9883, pred: pos, actual: pos GOOD
9884, pred: neg, actual: neg GOOD
9885, pred: neg, actual: neg GOOD
9886, pred: neg, actual: pos BAD
9887, pred: pos, actual: neg BAD
9888, pred: neg, actual: pos BAD
9889, pred: pos, actual: pos GOOD
9890, pred: neg, actual: neg GOOD
9891, pred: neg, actual: neg GOOD
9892, pred: neg, actual: neg GOOD
9893, pred: pos, actual: neg BAD
9894, pred: pos, actual: neg BAD
9895, pred: neg, actual: neg GOOD
9896, pred: pos, actual: neg BAD
9897, pred: pos, actual: pos GOOD
9898, pred: pos, actual: pos GOOD
9899, pred: pos, actual: pos GOOD
9900, pred: neg, actual: neg GOOD
9901, pred: neg, actual: pos BAD
9902, pred: neg, actual: neg GOOD
9903, pred: pos, actual: pos GOOD
9904, pred: pos, actual: neg BAD
9905, pred: neg, actual: pos BAD
9906, pred: neg, actual: neg GOOD
9907, pred: pos, actual: pos GOOD
9908, pred: pos, actual: neg BAD
9909, pred: neg, actual: pos BAD
9910, pred: neg, actual: neg GOOD
9911, pred: pos, actual: pos GOOD
9912, pred: pos, actual: pos GOOD
9913, pred: neg, actual: neg GOOD
9914, pred: pos, actual: neg BAD
9915, pred: neg, actual: neg GOOD
9916, pred: neg, actual: pos BAD
9917, pred: pos, actual: pos GOOD
9918, pred: pos, actual: pos GOOD
9919, pred: neg, actual: neg GOOD
9920, pred: pos, actual: pos GOOD
9921, pred: pos, actual: pos GOOD
9922, pred: pos, actual: pos GOOD
9923, pred: pos, actual: pos GOOD
9924, pred: neg, actual: neg GOOD
9925, pred: pos, actual: pos GOOD
9926, pred: neg, actual: neg GOOD
9927, pred: neg, actual: pos BAD
9928, pred: pos, actual: pos GOOD
9929, pred: neg, actual: pos BAD
9930, pred: neg, actual: neg GOOD
9931, pred: pos, actual: neg BAD
9932, pred: pos, actual: pos GOOD
9933, pred: neg, actual: neg GOOD
9934, pred: pos, actual: pos GOOD
9935, pred: pos, actual: pos GOOD
9936, pred: neg, actual: neg GOOD
9937, pred: pos, actual: pos GOOD
9938, pred: neg, actual: neg GOOD
9939, pred: pos, actual: pos GOOD
9940, pred: pos, actual: neg BAD
9941, pred: pos, actual: neg BAD
9942, pred: neg, actual: neg GOOD
9943, pred: pos, actual: pos GOOD
9944, pred: pos, actual: pos GOOD
9945, pred: pos, actual: neg BAD
9946, pred: pos, actual: pos GOOD
9947, pred: pos, actual: neg BAD
9948, pred: pos, actual: pos GOOD
9949, pred: neg, actual: pos BAD
9950, pred: pos, actual: pos GOOD
9951, pred: neg, actual: pos BAD
9952, pred: pos, actual: pos GOOD
9953, pred: neg, actual: neg GOOD
9954, pred: pos, actual: pos GOOD
9955, pred: pos, actual: pos GOOD
9956, pred: neg, actual: neg GOOD
9957, pred: pos, actual: pos GOOD
9958, pred: neg, actual: neg GOOD
9959, pred: neg, actual: pos BAD
9960, pred: neg, actual: neg GOOD
9961, pred: neg, actual: neg GOOD
9962, pred: pos, actual: pos GOOD
9963, pred: pos, actual: pos GOOD
9964, pred: neg, actual: pos BAD
9965, pred: pos, actual: pos GOOD
9966, pred: pos, actual: pos GOOD
9967, pred: pos, actual: pos GOOD
9968, pred: pos, actual: pos GOOD
9969, pred: neg, actual: neg GOOD
9970, pred: neg, actual: neg GOOD
9971, pred: pos, actual: pos GOOD
9972, pred: pos, actual: pos GOOD
9973, pred: neg, actual: neg GOOD
9974, pred: pos, actual: neg BAD
9975, pred: neg, actual: neg GOOD
9976, pred: neg, actual: neg GOOD
9977, pred: pos, actual: pos GOOD
9978, pred: neg, actual: neg GOOD
9979, pred: pos, actual: pos GOOD
9980, pred: pos, actual: pos GOOD
9981, pred: neg, actual: neg GOOD
9982, pred: neg, actual: neg GOOD
9983, pred: pos, actual: neg BAD
9984, pred: pos, actual: pos GOOD
9985, pred: pos, actual: pos GOOD
9986, pred: pos, actual: pos GOOD
9987, pred: neg, actual: pos BAD
9988, pred: pos, actual: pos GOOD
9989, pred: pos, actual: pos GOOD
9990, pred: pos, actual: neg BAD
9991, pred: pos, actual: neg BAD
9992, pred: neg, actual: neg GOOD
9993, pred: pos, actual: neg BAD
9994, pred: pos, actual: pos GOOD
9995, pred: neg, actual: neg GOOD
9996, pred: neg, actual: neg GOOD
9997, pred: pos, actual: pos GOOD
9998, pred: pos, actual: neg BAD
9999, pred: neg, actual: neg GOOD
10000, pred: neg, actual: neg GOOD
10001, pred: pos, actual: neg BAD
10002, pred: pos, actual: pos GOOD
10003, pred: pos, actual: neg BAD
10004, pred: pos, actual: pos GOOD
10005, pred: pos, actual: neg BAD
10006, pred: pos, actual: neg BAD
10007, pred: pos, actual: pos GOOD
10008, pred: pos, actual: neg BAD
10009, pred: pos, actual: pos GOOD
10010, pred: neg, actual: neg GOOD
10011, pred: neg, actual: neg GOOD
10012, pred: neg, actual: neg GOOD
10013, pred: neg, actual: pos BAD
10014, pred: pos, actual: pos GOOD
10015, pred: pos, actual: pos GOOD
10016, pred: neg, actual: neg GOOD
10017, pred: neg, actual: pos BAD
10018, pred: neg, actual: neg GOOD
10019, pred: pos, actual: pos GOOD
10020, pred: neg, actual: neg GOOD
10021, pred: neg, actual: neg GOOD
10022, pred: pos, actual: pos GOOD
10023, pred: pos, actual: neg BAD
10024, pred: pos, actual: pos GOOD
10025, pred: neg, actual: neg GOOD
10026, pred: neg, actual: neg GOOD
10027, pred: neg, actual: neg GOOD
10028, pred: pos, actual: pos GOOD
10029, pred: pos, actual: neg BAD
10030, pred: pos, actual: pos GOOD
10031, pred: neg, actual: neg GOOD
10032, pred: neg, actual: neg GOOD
10033, pred: neg, actual: neg GOOD
10034, pred: pos, actual: neg BAD
10035, pred: pos, actual: pos GOOD
10036, pred: pos, actual: pos GOOD
10037, pred: neg, actual: neg GOOD
10038, pred: neg, actual: pos BAD
10039, pred: neg, actual: pos BAD
10040, pred: neg, actual: pos BAD
10041, pred: pos, actual: pos GOOD
10042, pred: neg, actual: pos BAD
10043, pred: neg, actual: pos BAD
10044, pred: pos, actual: pos GOOD
10045, pred: pos, actual: neg BAD
10046, pred: neg, actual: neg GOOD
10047, pred: pos, actual: pos GOOD
10048, pred: neg, actual: pos BAD
10049, pred: neg, actual: neg GOOD
10050, pred: neg, actual: neg GOOD
10051, pred: neg, actual: neg GOOD
10052, pred: neg, actual: neg GOOD
10053, pred: neg, actual: pos BAD
10054, pred: neg, actual: neg GOOD
10055, pred: neg, actual: pos BAD
10056, pred: neg, actual: pos BAD
10057, pred: pos, actual: pos GOOD
10058, pred: pos, actual: neg BAD
10059, pred: neg, actual: pos BAD
10060, pred: pos, actual: pos GOOD
10061, pred: neg, actual: neg GOOD
10062, pred: pos, actual: neg BAD
10063, pred: pos, actual: neg BAD
10064, pred: pos, actual: pos GOOD
10065, pred: pos, actual: pos GOOD
10066, pred: pos, actual: pos GOOD
10067, pred: pos, actual: pos GOOD
10068, pred: neg, actual: neg GOOD
10069, pred: pos, actual: neg BAD
10070, pred: pos, actual: pos GOOD
10071, pred: neg, actual: neg GOOD
10072, pred: pos, actual: pos GOOD
10073, pred: pos, actual: pos GOOD
10074, pred: neg, actual: neg GOOD
10075, pred: pos, actual: neg BAD
10076, pred: neg, actual: neg GOOD
10077, pred: pos, actual: neg BAD
10078, pred: pos, actual: pos GOOD
10079, pred: neg, actual: neg GOOD
10080, pred: neg, actual: pos BAD
10081, pred: neg, actual: neg GOOD
10082, pred: pos, actual: pos GOOD
10083, pred: neg, actual: neg GOOD
10084, pred: pos, actual: pos GOOD
10085, pred: pos, actual: pos GOOD
10086, pred: neg, actual: neg GOOD
10087, pred: neg, actual: neg GOOD
10088, pred: pos, actual: pos GOOD
10089, pred: pos, actual: pos GOOD
10090, pred: pos, actual: neg BAD
10091, pred: pos, actual: pos GOOD
10092, pred: neg, actual: pos BAD
10093, pred: pos, actual: neg BAD
10094, pred: neg, actual: neg GOOD
10095, pred: pos, actual: pos GOOD
10096, pred: neg, actual: neg GOOD
10097, pred: neg, actual: neg GOOD
10098, pred: pos, actual: neg BAD
10099, pred: pos, actual: neg BAD
10100, pred: neg, actual: neg GOOD
10101, pred: neg, actual: pos BAD
10102, pred: pos, actual: neg BAD
10103, pred: neg, actual: pos BAD
10104, pred: pos, actual: pos GOOD
10105, pred: pos, actual: neg BAD
10106, pred: neg, actual: neg GOOD
10107, pred: neg, actual: neg GOOD
10108, pred: neg, actual: neg GOOD
10109, pred: neg, actual: neg GOOD
10110, pred: neg, actual: pos BAD
10111, pred: neg, actual: neg GOOD
10112, pred: neg, actual: pos BAD
10113, pred: pos, actual: pos GOOD
10114, pred: pos, actual: neg BAD
10115, pred: neg, actual: neg GOOD
10116, pred: pos, actual: pos GOOD
10117, pred: neg, actual: pos BAD
10118, pred: neg, actual: neg GOOD
10119, pred: pos, actual: pos GOOD
10120, pred: neg, actual: neg GOOD
10121, pred: pos, actual: neg BAD
10122, pred: pos, actual: pos GOOD
10123, pred: pos, actual: pos GOOD
10124, pred: pos, actual: pos GOOD
10125, pred: neg, actual: pos BAD
10126, pred: pos, actual: pos GOOD
10127, pred: pos, actual: neg BAD
10128, pred: pos, actual: neg BAD
10129, pred: neg, actual: neg GOOD
10130, pred: neg, actual: neg GOOD
10131, pred: pos, actual: neg BAD
10132, pred: neg, actual: neg GOOD
10133, pred: pos, actual: neg BAD
10134, pred: neg, actual: neg GOOD
10135, pred: neg, actual: neg GOOD
10136, pred: pos, actual: pos GOOD
10137, pred: pos, actual: neg BAD
10138, pred: neg, actual: pos BAD
10139, pred: pos, actual: neg BAD
10140, pred: neg, actual: neg GOOD
10141, pred: pos, actual: pos GOOD
10142, pred: neg, actual: pos BAD
10143, pred: pos, actual: neg BAD
10144, pred: pos, actual: pos GOOD
10145, pred: neg, actual: neg GOOD
10146, pred: neg, actual: neg GOOD
10147, pred: neg, actual: neg GOOD
10148, pred: pos, actual: pos GOOD
10149, pred: pos, actual: neg BAD
10150, pred: pos, actual: pos GOOD
10151, pred: pos, actual: pos GOOD
10152, pred: pos, actual: pos GOOD
10153, pred: neg, actual: neg GOOD
10154, pred: neg, actual: neg GOOD
10155, pred: neg, actual: neg GOOD
10156, pred: neg, actual: pos BAD
10157, pred: neg, actual: neg GOOD
10158, pred: neg, actual: neg GOOD
10159, pred: neg, actual: neg GOOD
10160, pred: pos, actual: neg BAD
10161, pred: pos, actual: neg BAD
10162, pred: neg, actual: pos BAD
10163, pred: pos, actual: pos GOOD
10164, pred: neg, actual: neg GOOD
10165, pred: pos, actual: pos GOOD
10166, pred: pos, actual: pos GOOD
10167, pred: pos, actual: pos GOOD
10168, pred: neg, actual: neg GOOD
10169, pred: neg, actual: neg GOOD
10170, pred: pos, actual: pos GOOD
10171, pred: pos, actual: pos GOOD
10172, pred: neg, actual: neg GOOD
10173, pred: neg, actual: neg GOOD
10174, pred: neg, actual: neg GOOD
10175, pred: neg, actual: neg GOOD
10176, pred: pos, actual: pos GOOD
10177, pred: pos, actual: pos GOOD
10178, pred: pos, actual: pos GOOD
10179, pred: pos, actual: pos GOOD
10180, pred: neg, actual: pos BAD
10181, pred: neg, actual: pos BAD
10182, pred: pos, actual: neg BAD
10183, pred: pos, actual: pos GOOD
10184, pred: pos, actual: pos GOOD
10185, pred: neg, actual: pos BAD
10186, pred: neg, actual: neg GOOD
10187, pred: neg, actual: neg GOOD
10188, pred: pos, actual: pos GOOD
10189, pred: neg, actual: pos BAD
10190, pred: pos, actual: pos GOOD
10191, pred: pos, actual: pos GOOD
10192, pred: pos, actual: pos GOOD
10193, pred: neg, actual: neg GOOD
10194, pred: neg, actual: pos BAD
10195, pred: pos, actual: neg BAD
10196, pred: pos, actual: neg BAD
10197, pred: pos, actual: pos GOOD
10198, pred: neg, actual: neg GOOD
10199, pred: pos, actual: pos GOOD
10200, pred: neg, actual: pos BAD
10201, pred: pos, actual: neg BAD
10202, pred: neg, actual: neg GOOD
10203, pred: neg, actual: neg GOOD
10204, pred: neg, actual: pos BAD
10205, pred: neg, actual: neg GOOD
10206, pred: pos, actual: pos GOOD
10207, pred: pos, actual: pos GOOD
10208, pred: neg, actual: neg GOOD
10209, pred: pos, actual: pos GOOD
10210, pred: pos, actual: pos GOOD
10211, pred: neg, actual: neg GOOD
10212, pred: pos, actual: pos GOOD
10213, pred: pos, actual: neg BAD
10214, pred: neg, actual: neg GOOD
10215, pred: pos, actual: pos GOOD
10216, pred: neg, actual: neg GOOD
10217, pred: pos, actual: neg BAD
10218, pred: neg, actual: neg GOOD
10219, pred: neg, actual: neg GOOD
10220, pred: pos, actual: pos GOOD
10221, pred: pos, actual: pos GOOD
10222, pred: pos, actual: pos GOOD
10223, pred: neg, actual: neg GOOD
10224, pred: neg, actual: neg GOOD
10225, pred: neg, actual: neg GOOD
10226, pred: neg, actual: pos BAD
10227, pred: pos, actual: pos GOOD
10228, pred: pos, actual: pos GOOD
10229, pred: pos, actual: pos GOOD
10230, pred: pos, actual: pos GOOD
10231, pred: pos, actual: pos GOOD
10232, pred: neg, actual: neg GOOD
10233, pred: pos, actual: neg BAD
10234, pred: pos, actual: pos GOOD
10235, pred: neg, actual: neg GOOD
10236, pred: pos, actual: pos GOOD
10237, pred: pos, actual: pos GOOD
10238, pred: neg, actual: pos BAD
10239, pred: pos, actual: neg BAD
10240, pred: neg, actual: pos BAD
10241, pred: pos, actual: neg BAD
10242, pred: pos, actual: pos GOOD
10243, pred: pos, actual: pos GOOD
10244, pred: pos, actual: neg BAD
10245, pred: neg, actual: pos BAD
10246, pred: pos, actual: pos GOOD
10247, pred: pos, actual: pos GOOD
10248, pred: pos, actual: pos GOOD
10249, pred: pos, actual: pos GOOD
10250, pred: pos, actual: pos GOOD
10251, pred: neg, actual: neg GOOD
10252, pred: neg, actual: neg GOOD
10253, pred: pos, actual: pos GOOD
10254, pred: pos, actual: pos GOOD
10255, pred: pos, actual: pos GOOD
10256, pred: neg, actual: neg GOOD
10257, pred: pos, actual: pos GOOD
10258, pred: neg, actual: neg GOOD
10259, pred: neg, actual: pos BAD
10260, pred: neg, actual: neg GOOD
10261, pred: pos, actual: pos GOOD
10262, pred: neg, actual: neg GOOD
10263, pred: pos, actual: pos GOOD
10264, pred: neg, actual: pos BAD
10265, pred: neg, actual: pos BAD
10266, pred: pos, actual: neg BAD
10267, pred: neg, actual: neg GOOD
10268, pred: pos, actual: pos GOOD
10269, pred: pos, actual: pos GOOD
10270, pred: neg, actual: neg GOOD
10271, pred: pos, actual: neg BAD
10272, pred: pos, actual: pos GOOD
10273, pred: neg, actual: pos BAD
10274, pred: pos, actual: pos GOOD
10275, pred: neg, actual: neg GOOD
10276, pred: neg, actual: pos BAD
